PSD_class,class_index,diameter_um,radius_um,mass_fraction
coarse,1,11.675495201391623,5.837747600695812,0.041666666666666685
coarse,2,27.866642043909707,13.933321021954853,0.041666666666666685
coarse,3,59.03920859840085,29.519604299200424,0.041666666666666685
coarse,4,135.0653900813749,67.53269504068744,0.041666666666666685
coarse,5,242.70890130439184,121.35445065219592,0.041666666666666685
coarse,6,361.1359221405679,180.56796107028396,0.041666666666666685
coarse,7,453.0455979908074,226.5227989954037,0.041666666666666685
coarse,8,524.7485828594697,262.37429142973485,0.041666666666666685
coarse,9,590.2732256845575,295.13661284227874,0.041666666666666685
coarse,10,644.034353692264,322.017176846132,0.041666666666666685
coarse,11,709.675052896144,354.837526448072,0.041666666666666685
coarse,12,778.323809341256,389.161904670628,0.041666666666666685
coarse,13,811.4977692462945,405.74888462314726,0.041666666666666685
coarse,14,916.095816128144,458.047908064072,0.041666666666666685
coarse,15,956.1055923211825,478.05279616059124,0.041666666666666685
coarse,16,1040.83426276321,520.417131381605,0.041666666666666685
coarse,17,1128.7809154935385,564.3904577467692,0.041666666666666685
coarse,18,1186.9858053972414,593.4929026986207,0.041666666666666685
coarse,19,1343.57817639073,671.789088195365,0.041666666666666685
coarse,20,1453.3425859868069,726.6712929934034,0.041666666666666685
coarse,21,1603.0858233055421,801.5429116527711,0.041666666666666685
coarse,22,1814.6060644967995,907.3030322483997,0.041666666666666685
coarse,23,2106.978749056017,1053.4893745280085,0.041666666666666685
coarse,24,2688.323277135526,1344.161638567763,0.041666666666666685
medium,1,8.377587384558451,4.1887936922792255,0.041666666666666685
medium,2,20.183372837625804,10.091686418812902,0.041666666666666685
medium,3,31.328599085025154,15.664299542512577,0.041666666666666685
medium,4,49.3727953452436,24.6863976726218,0.041666666666666685
medium,5,86.87524612893255,43.43762306446627,0.041666666666666685
medium,6,150.89957671713148,75.44978835856574,0.041666666666666685
medium,7,236.34744912545514,118.17372456272757,0.041666666666666685
medium,8,308.95433899649964,154.47716949824982,0.041666666666666685
medium,9,360.20451481506774,180.10225740753387,0.041666666666666685
medium,10,406.5376076446663,203.26880382233315,0.041666666666666685
medium,11,442.6264821492555,221.31324107462774,0.041666666666666685
medium,12,483.879805576425,241.9399027882125,0.041666666666666685
medium,13,529.4393281199264,264.7196640599632,0.041666666666666685
medium,14,549.766380149798,274.883190074899,0.041666666666666685
medium,15,616.0441187316692,308.0220593658346,0.041666666666666685
medium,16,624.62427499524,312.31213749762,0.041666666666666685
medium,17,706.7384797622391,353.36923988111954,0.041666666666666685
medium,18,714.8819590514988,357.4409795257494,0.041666666666666685
medium,19,806.306608411884,403.153304205942,0.041666666666666685
medium,20,836.9785631314317,418.4892815657158,0.041666666666666685
medium,21,916.095816128144,458.047908064072,0.041666666666666685
medium,22,1010.0972351058692,505.0486175529346,0.041666666666666685
medium,23,1118.7863484907843,559.3931742453922,0.041666666666666685
medium,24,1331.5287556573892,665.7643778286946,0.04166666666666663
fine,1,3.8703004499322735,1.9351502249661368,0.041666666666666685
fine,2,11.137821555443695,5.568910777721848,0.041666666666666685
fine,3,17.741252460985205,8.870626230492602,0.041666666666666685
fine,4,25.32092143655325,12.660460718276624,0.041666666666666685
fine,5,35.73425963488204,17.86712981744102,0.041666666666666685
fine,6,54.72376440984181,27.361882204920907,0.041666666666666685
fine,7,91.40618721534423,45.703093607672116,0.041666666666666685
fine,8,139.35755144196344,69.67877572098172,0.041666666666666685
fine,9,183.17715958453707,91.58857979226853,0.041666666666666685
fine,10,214.85238016307957,107.42619008153979,0.041666666666666685
fine,11,244.3582664891105,122.17913324455525,0.041666666666666685
fine,12,269.4068114191455,134.70340570957276,0.041666666666666685
fine,13,290.385399055384,145.192699527692,0.041666666666666685
fine,14,326.940309403738,163.470154701869,0.041666666666666685
fine,15,341.5715111524593,170.78575557622966,0.041666666666666685
fine,16,374.848810105023,187.4244050525115,0.041666666666666685
fine,17,399.36479803469064,199.68239901734532,0.041666666666666685
fine,18,425.889386289648,212.944693144824,0.041666666666666685
fine,19,466.12750959550266,233.06375479775133,0.041666666666666685
fine,20,485.09089091750644,242.54544545875322,0.041666666666666685
fine,21,549.766380149798,274.883190074899,0.041666666666666685
fine,22,592.0614397943755,296.03071989718774,0.041666666666666685
fine,23,660.0793666004809,330.0396833002404,0.041666666666666685
fine,24,786.6970178703659,393.34850893518296,0.041666666666666685
