size,fine,medium,coarse
10.5 ,0.572 ,0.418 ,0.150 
10.7 ,0.586 ,0.433 ,0.170 
10.9 ,0.599 ,0.447 ,0.189 
11.1 ,0.612 ,0.462 ,0.209 
11.3 ,0.625 ,0.476 ,0.228 
11.5 ,0.638 ,0.489 ,0.247 
11.7 ,0.650 ,0.503 ,0.264 
11.9 ,0.662 ,0.516 ,0.280 
12.1 ,0.673 ,0.528 ,0.295 
12.3 ,0.684 ,0.540 ,0.307 
12.5 ,0.695 ,0.552 ,0.317 
12.7 ,0.705 ,0.562 ,0.325 
12.9 ,0.714 ,0.573 ,0.330 
13.1 ,0.724 ,0.583 ,0.331 
13.4 ,0.733 ,0.593 ,0.338 
13.6 ,0.742 ,0.602 ,0.344 
13.8 ,0.750 ,0.611 ,0.350 
14.1 ,0.758 ,0.619 ,0.356 
14.3 ,0.765 ,0.628 ,0.362 
14.6 ,0.772 ,0.635 ,0.367 
14.8 ,0.779 ,0.643 ,0.372 
15.1 ,0.785 ,0.650 ,0.376 
15.3 ,0.790 ,0.657 ,0.380 
15.6 ,0.795 ,0.664 ,0.383 
15.8 ,0.799 ,0.670 ,0.385 
16.1 ,0.803 ,0.676 ,0.388 
16.4 ,0.807 ,0.681 ,0.390 
16.7 ,0.810 ,0.686 ,0.392 
17.0 ,0.813 ,0.691 ,0.393 
17.3 ,0.815 ,0.695 ,0.394 
17.6 ,0.817 ,0.699 ,0.396 
17.9 ,0.818 ,0.703 ,0.396 
18.2 ,0.819 ,0.706 ,0.397 
18.5 ,0.820 ,0.708 ,0.398 
18.8 ,0.820 ,0.710 ,0.399 
19.1 ,0.819 ,0.712 ,0.400 
19.4 ,0.819 ,0.713 ,0.400 
19.8 ,0.817 ,0.713 ,0.401 
20.1 ,0.815 ,0.713 ,0.401 
20.5 ,0.813 ,0.712 ,0.402 
20.8 ,0.810 ,0.711 ,0.402 
21.2 ,0.806 ,0.710 ,0.402 
21.5 ,0.803 ,0.708 ,0.402 
21.9 ,0.798 ,0.705 ,0.403 
22.3 ,0.794 ,0.703 ,0.403 
22.7 ,0.788 ,0.699 ,0.404 
23.1 ,0.783 ,0.696 ,0.404 
23.5 ,0.777 ,0.692 ,0.403 
23.9 ,0.770 ,0.688 ,0.402 
24.3 ,0.763 ,0.683 ,0.401 
24.7 ,0.756 ,0.679 ,0.399 
25.1 ,0.748 ,0.673 ,0.398 
25.6 ,0.739 ,0.668 ,0.395 
26.0 ,0.731 ,0.662 ,0.392 
26.4 ,0.722 ,0.656 ,0.389 
26.9 ,0.712 ,0.650 ,0.385 
27.4 ,0.702 ,0.644 ,0.382 
27.8 ,0.692 ,0.637 ,0.378 
28.3 ,0.682 ,0.630 ,0.375 
28.8 ,0.672 ,0.622 ,0.371 
29.3 ,0.661 ,0.615 ,0.366 
29.8 ,0.651 ,0.607 ,0.361 
30.3 ,0.640 ,0.599 ,0.356 
30.8 ,0.629 ,0.592 ,0.351 
31.4 ,0.618 ,0.583 ,0.346 
31.9 ,0.607 ,0.575 ,0.341 
32.4 ,0.596 ,0.567 ,0.335 
33.0 ,0.585 ,0.558 ,0.328 
33.6 ,0.574 ,0.550 ,0.322 
34.1 ,0.563 ,0.541 ,0.315 
34.7 ,0.552 ,0.533 ,0.309 
35.3 ,0.541 ,0.524 ,0.302 
35.9 ,0.530 ,0.515 ,0.295 
36.6 ,0.519 ,0.507 ,0.288 
37.2 ,0.508 ,0.498 ,0.281 
37.8 ,0.497 ,0.489 ,0.274 
38.5 ,0.486 ,0.481 ,0.266 
39.1 ,0.475 ,0.473 ,0.258 
39.8 ,0.464 ,0.464 ,0.251 
40.5 ,0.453 ,0.456 ,0.243 
41.2 ,0.443 ,0.448 ,0.236 
41.9 ,0.432 ,0.440 ,0.229 
42.6 ,0.422 ,0.432 ,0.222 
43.4 ,0.411 ,0.424 ,0.216 
44.1 ,0.401 ,0.416 ,0.209 
44.9 ,0.391 ,0.409 ,0.203 
45.6 ,0.381 ,0.401 ,0.197 
46.4 ,0.371 ,0.393 ,0.191 
47.2 ,0.362 ,0.386 ,0.186 
48.0 ,0.352 ,0.379 ,0.181 
48.9 ,0.343 ,0.372 ,0.176 
49.7 ,0.334 ,0.365 ,0.172 
50.5 ,0.325 ,0.358 ,0.168 
51.4 ,0.317 ,0.351 ,0.164 
52.3 ,0.308 ,0.344 ,0.161 
53.2 ,0.300 ,0.337 ,0.158 
54.1 ,0.292 ,0.331 ,0.155 
55.0 ,0.285 ,0.324 ,0.152 
56.0 ,0.277 ,0.318 ,0.150 
57.0 ,0.270 ,0.311 ,0.148 
57.9 ,0.263 ,0.305 ,0.147 
58.9 ,0.256 ,0.299 ,0.145 
59.9 ,0.249 ,0.293 ,0.144 
61.0 ,0.243 ,0.287 ,0.144 
62.0 ,0.236 ,0.281 ,0.143 
63.1 ,0.230 ,0.276 ,0.143 
64.2 ,0.224 ,0.270 ,0.143 
65.3 ,0.218 ,0.265 ,0.143 
66.4 ,0.212 ,0.259 ,0.144 
67.6 ,0.207 ,0.254 ,0.145 
68.7 ,0.202 ,0.249 ,0.146 
69.9 ,0.196 ,0.244 ,0.147 
71.1 ,0.191 ,0.239 ,0.149 
72.3 ,0.186 ,0.234 ,0.150 
73.6 ,0.182 ,0.229 ,0.152 
74.8 ,0.177 ,0.224 ,0.154 
76.1 ,0.173 ,0.219 ,0.156 
77.4 ,0.168 ,0.215 ,0.158 
78.8 ,0.164 ,0.210 ,0.160 
80.1 ,0.160 ,0.206 ,0.162 
81.5 ,0.156 ,0.202 ,0.164 
82.9 ,0.152 ,0.197 ,0.166 
84.3 ,0.149 ,0.193 ,0.168 
85.8 ,0.145 ,0.189 ,0.170 
87.2 ,0.142 ,0.185 ,0.172 
88.7 ,0.139 ,0.181 ,0.175 
90.3 ,0.136 ,0.177 ,0.177 
91.8 ,0.133 ,0.173 ,0.178 
93.4 ,0.130 ,0.170 ,0.180 
95.0 ,0.128 ,0.166 ,0.182 
96.6 ,0.125 ,0.162 ,0.183 
98.3 ,0.123 ,0.159 ,0.184 
100.0 ,0.121 ,0.156 ,0.185 
101.7 ,0.119 ,0.153 ,0.186 
103.5 ,0.117 ,0.149 ,0.187 
105.3 ,0.115 ,0.146 ,0.187 
107.1 ,0.114 ,0.144 ,0.187 
108.9 ,0.113 ,0.141 ,0.187 
